## Province / Territory|Abbrev.|Symbol / Symbole|Abrév.|Province / Territoire
Alberta|Alta.|AB|Alb.|Alberta
British Columbia|B.C.|BC|C.-B.|Colombie-Britannique
Manitoba|Man.|MB|Man.|Manitoba
New Brunswick|N.B.|NB|N.-B.|Nouveau-Brunswick
Newfoundland and Labrador|N.L.|NL|T.-N.-L.|Terre-Neuve-et-Labrador
Northwest Territories|N.W.T.|NT|T.N.-O.|Territoires du Nord-Ouest
Nova Scotia|N.S.|NS|N.-É.|Nouvelle-Écosse
Nunavut|-|NU|-|Nunavut
Ontario|Ont.|ON|Ont.|Ontario
Prince Edward Island|P.E.I.|PE|Î.-P.-É.|Île-du-Prince-Édouard
Quebec|Que.|QC|Qc|Québec
Saskatchewan|Sask.|SK|Sask.|Saskatchewan
Yukon|Y.T.|YT|Yn|Yukon
